,gene,tau,max_group
135,Gsx1,0.9957314,DMH-LHA Gsx1 Gaba
136,Flt1,0.98670524,Endo NN
137,Hsph1,0.2617416,Ependymal NN
138,Tac1,0.8981543,OT D3 Folh1 Gaba
139,Plxna4,0.316631,DG Glut
140,Lrguk,0.89592063,Ependymal NN
141,Zc3hav1,0.95357543,Lymphoid NN
142,Gpnmb,0.96870357,Pvalb Gaba
143,Npy,0.954212,OEG NN
144,Npvf,0.99728024,DMH-LHA Vgll2 Glut
145,Ppp1r17,0.96713334,CBX Purkinje Gaba
146,Atoh1,0.97986215,CUN-PPN Evx2 Meis2 Glut
147,Tnip3,0.9982436,DC NN
148,Eva1a,0.98061,Astro-CB NN
149,Tacr1,0.84414715,Sst Chodl Gaba
150,Hk2,0.9703173,Microglia NN
151,Arhgap25,0.9629296,L6 CT CTX Glut
152,Slc6a6,0.47020456,Endo NN
153,Prickle2,0.29160476,L2/3 IT ENT Glut
154,Itpr1,0.67023915,CBX Purkinje Gaba
155,Grm7,0.2889791,SPVC Ccdc172 Glut
156,Slc6a11,0.7862636,Astro-OLF NN
157,C3ar1,0.99157727,BAM NN
158,Cd163,0.99759376,BAM NN
159,Ptpn6,0.9831504,Monocytes NN
160,Lag3,0.9117022,Microglia NN
161,Cd9,0.9502514,CHOR NN
162,Cd69,0.9982508,Lymphoid NN
163,Olr1,0.9945927,DC NN
164,Klrk1,0.9936035,Lymphoid NN
165,Lrp6,0.45686167,BAM NN
166,Kcnj8,0.99798703,Peri NN
167,Ppfibp1,0.825482,OPC NN
168,Tarm1,0.9857903,Monocytes NN
169,Lair1,0.96081424,Microglia NN
170,Apoc1,0.9854452,Tanycyte NN
171,Apoe,0.9096574,BAM NN
172,Pvr,0.75810844,CBX Purkinje Gaba
173,Tgfb1,0.96867627,DC NN
174,Axl,0.9671077,Peri NN
175,Ryr1,0.92439526,CBX Purkinje Gaba
176,Tyrobp,0.98794675,Monocytes NN
177,Cd22,0.98429704,BAM NN
178,Cd33,0.9920209,Microglia NN
179,Dkkl1,0.9783868,L4 RSP-ACA Glut
180,Cd37,0.98996043,Microglia NN
181,Siglech,0.9970209,Microglia NN
182,Oca2,0.979966,CHOR NN
183,Ube3a,0.08293175,SC Lef1 Otx2 Gaba
184,Igf1r,0.43361387,Endo NN
185,Il16,0.96927506,CB Granule Glut
186,Grm5,0.27050844,LSX Prdm12 do Gaba
187,Dlg2,0.18231808,BST-po Glut
188,P2ry6,0.9920989,BAM NN
189,Crym,0.9237,CA2-FC-IG Glut
190,Il21r,0.9929196,Microglia NN
191,Itgam,0.9903308,Microglia NN
192,Itgax,0.99805135,DC NN
193,Mki67,0.9038004,MOB-STR-CTX Inh IMN
194,Lsp1,0.9821846,DC NN
195,Igf2,0.9931376,VLMC NN
196,Arglu1,0.15577477,OT D3 Folh1 Gaba
197,Dlgap2,0.3745615,Pvalb chandelier Gaba
198,Angpt2,0.8282879,AD Serpinb7 Glut
199,Sorbs2,0.25873157,Car3 Glut
200,Acsl1,0.5129805,IO Glut
201,Casp3,0.6633605,DG-PIR Ex IMN
202,Vegfc,0.8176603,L5 PPP Glut
203,Ddx60,0.98523617,BAM NN
204,Lpl,0.92892027,POR Spp1 Gly-Gaba
205,Homer3,0.96922666,CBX Purkinje Gaba
206,Arhgap10,0.79561645,MSN D1 Gaba
207,Dnajb1,0.3224236,SNr-VTA-PPN Pax5 Npas1 Gaba
208,Cacna1a,0.25245103,CBX Purkinje Gaba
209,Cbln1,0.8467103,PF Fzd5 Glut
210,Snx20,0.97550213,DC NN
211,Lpcat2,0.8518501,Microglia NN
212,Cdh1,0.9875006,ABC NN
213,Maf,0.8961773,BAM NN
214,Plcg2,0.9381394,DC NN
215,Cdh13,0.47833148,GPe Sox6 Cyp26b1 Gaba
216,Irf8,0.9840496,Microglia NN
217,Cyba,0.97801274,Monocytes NN
218,Agt,0.9796007,Astro-NT NN
219,Tomm20,0.17388703,Pineal Crx Glut
220,Nrp1,0.5812945,BAM NN
221,Itgb1,0.58089465,SMC NN
222,Gria4,0.3186628,Bergmann NN
223,Mmp3,0.9764454,MA3 Foxd2 Glut
224,Chordc1,0.1772143,POR Spp1 Gly-Gaba
225,Aplp2,0.31069267,MY Calcb Chol
226,Il10ra,0.9852916,Microglia NN
227,Drd2,0.89468306,MSN D2 Gaba
228,Sln,0.9904999,TRS Sln Glut
229,Lingo1,0.48532373,Car3 Glut
230,Stra6,0.9865504,CHOR NN
231,Islr,0.9650453,ABC NN
232,Tipin,0.42409185,CBX Purkinje Gaba
233,Megf11,0.85246,OPC NN
234,Snx22,0.9897305,OPC NN
235,Rora,0.33610603,CBX MLI Megf11 Gaba
236,Aldh1a2,0.99365115,VLMC NN
237,Bmp5,0.9831381,ABC NN
