,gene,tau,max_group
154,Itpr1,0.5214444,NP-CT-L6b Glut
155,Grm7,0.39979813,HY MM Glut
156,Slc6a11,0.78700286,Astro-Epen
157,C3ar1,0.99517536,Immune
158,Cd163,0.9541185,Immune
159,Ptpn6,0.9775484,Immune
160,Lag3,0.9097526,Immune
161,Cd9,0.91802984,Immune
162,Cd69,0.98228586,Immune
163,Olr1,0.93277264,Pineal Glut
164,Klrk1,0.7928964,MB Dopa
165,Lrp6,0.14355281,CNU GABA
166,Kcnj8,0.9946826,Vascular
167,Ppfibp1,0.7585879,Vascular
168,Tarm1,0.8928038,P GABA
169,Lair1,0.95739645,Immune
170,Apoc1,0.9766145,OEG
171,Apoe,0.87697554,OEG
172,Pvr,0.5550321,HY MM Glut
173,Tgfb1,0.97070223,Immune
174,Axl,0.93761414,Astro-Epen
175,Ryr1,0.8597051,CNU GABA
176,Tyrobp,0.9966046,Immune
177,Cd22,0.9713518,Immune
178,Cd33,0.9983012,Immune
179,Dkkl1,0.95821726,IT-ET Glut
180,Cd37,0.997519,Immune
181,Siglech,0.9981464,Immune
182,Oca2,0.68963706,MB-HB Sero
183,Ube3a,0.10556285,MB GABA
184,Igf1r,0.33708233,Vascular
185,Il16,0.97194344,CB Glut
186,Grm5,0.41245753,LSX GABA
187,Dlg2,0.1677012,CNU GABA
188,P2ry6,0.9980662,Immune
189,Crym,0.92680705,NP-CT-L6b Glut
190,Il21r,0.99882066,Immune
191,Itgam,0.9975708,Immune
192,Itgax,0.9818444,Immune
193,Mki67,0.7522691,MOB-DG-IMN
194,Lsp1,0.87878776,NP-CT-L6b Glut
195,Igf2,0.9844085,Vascular
196,Arglu1,0.11986369,HY MM Glut
197,Dlgap2,0.49370053,MGE GABA
198,Angpt2,0.6532381,HY Gnrh1 Glut
199,Sorbs2,0.2585443,IT-ET Glut
200,Acsl1,0.38303557,Pineal Glut
201,Casp3,0.63665044,MOB-CR Glut
202,Vegfc,0.72881764,TH Glut
203,Ddx60,0.90922,OEG
204,Lpl,0.87783355,CNU GABA
205,Homer3,0.8845239,CB GABA
206,Arhgap10,0.7368222,CB GABA
207,Dnajb1,0.32610452,HY Gnrh1 Glut
208,Cacna1a,0.3236024,CB Glut
209,Cbln1,0.86404335,CB Glut
210,Snx20,0.96411455,Immune
211,Lpcat2,0.84008807,Immune
212,Cdh1,0.97992754,CB GABA
213,Maf,0.8671676,Immune
214,Plcg2,0.93331003,Immune
215,Cdh13,0.43497497,MB Dopa
216,Irf8,0.9892335,Immune
217,Cyba,0.9797811,Immune
218,Agt,0.93805873,Astro-Epen
219,Tomm20,0.21736157,Pineal Glut
220,Nrp1,0.647515,HY MM Glut
221,Itgb1,0.47001243,Vascular
222,Gria4,0.30299735,CB GABA
223,Mmp3,0.8703077,HY Glut
224,Chordc1,0.2223837,HY MM Glut
225,Aplp2,0.14602968,TH Glut
226,Il10ra,0.9948017,Immune
227,Drd2,0.8879697,MB Dopa
228,Sln,0.8996343,CGE GABA
229,Lingo1,0.59059554,IT-ET Glut
230,Stra6,0.9214711,Vascular
231,Islr,0.8964844,MOB-CR Glut
232,Tipin,0.32317734,HY Gnrh1 Glut
233,Megf11,0.8596411,CB Glut
234,Snx22,0.96803063,Oligo
235,Rora,0.34722355,CB GABA
236,Aldh1a2,0.9489951,Vascular
237,Bmp5,0.967671,OEG
238,Stag1,0.11062136,CB Glut
239,Grm2,0.8582136,HY MM Glut
240,Cish,0.5792757,NP-CT-L6b Glut
241,Plxnb1,0.81156194,OEG
242,Fbxw15,0.9892814,Oligo
243,Prss50,0.83867586,Astro-Epen
244,Trank1,0.33366033,CNU GABA
245,Susd5,0.93100446,Oligo
246,Glb1,0.36607945,MB-HB Sero
247,Eomes,0.9694565,MOB-CR Glut
248,Itga9,0.89348954,Immune
249,Cx3cr1,0.93886834,Immune
250,Mobp,0.88087845,Oligo
251,Syne1,0.29469967,CB Glut
252,Vip,0.9646002,CGE GABA
253,Nhsl1,0.88537616,Astro-Epen
254,Map3k5,0.58193386,Pineal Glut
255,Arg1,0.98480463,HY Gnrh1 Glut
256,Samd3,0.94528645,CNU-HYa Glut
257,Ptprk,0.64424175,Oligo
258,Grik2,0.23408961,CB Glut
259,Lilr4b,0.99904156,Immune
260,Lilrb4a,0.99876904,Immune
261,P4ha1,0.41339943,NP-CT-L6b Glut
262,Egr2,0.8850188,IT-ET Glut
263,Tmem26,0.8727158,MB Dopa
264,Cisd1,0.17055608,TH Glut
265,Itgb2,0.99690604,Immune
266,Cstb,0.4376531,HY Gnrh1 Glut
267,Abca7,0.55577385,TH Glut
268,Cirbp,0.41467452,Pineal Glut
269,Ckap4,0.4218095,MGE GABA
270,Timp3,0.7547622,OEG
271,Ascl1,0.6722664,CGE GABA
272,Igf1,0.86410165,CGE GABA
273,Gas2l3,0.7705032,MB-HB Sero
274,Anks1b,0.17374234,CNU GABA
275,Tmcc3,0.553145,Immune
276,Socs2,0.66412526,CB GABA
277,Dcn,0.9411757,Vascular
278,Ppfia2,0.2535759,MOB-DG-IMN
279,Nav3,0.27136168,NP-CT-L6b Glut
280,Osbpl8,0.38130555,CNU GABA
281,Trhde,0.65447164,CB Glut
282,Lyz2,0.993967,Immune
283,Grip1,0.41542608,CGE GABA
284,Rassf3,0.7843093,TH Glut
285,Cdk4,0.51254094,HY Gnrh1 Glut
286,Lrp1,0.2827168,Astro-Epen
287,Tac2,0.94899994,MH-LH Glut
288,Cdk2,0.91963845,OEG
289,Cd63,0.74688417,Pineal Glut
290,Osbp2,0.45529667,IT-ET Glut
291,Kremen1,0.80851126,Pineal Glut
292,Adcy1,0.599594,CB Glut
293,Plek,0.8553706,Immune
294,Slit3,0.65922815,IT-ET Glut
295,Tenm2,0.3003334,P GABA
296,Gabra6,0.99741244,CB Glut
297,Vdac1,0.17737946,TH Glut
298,Fstl4,0.615336,IT-ET Glut
299,Fat2,0.99257064,CB Glut
300,Gria1,0.3796238,MGE GABA
301,Hist3h2a,0.46064615,HY Gnrh1 Glut
302,Glp2r,0.7366592,NP-CT-L6b Glut
303,Ntn1,0.8998023,CB GABA
304,Cd68,0.9610024,Immune
305,Mgl2,0.9347659,MOB-CR Glut
306,Clec10a,0.909914,MOB-CR Glut
307,Cxcl16,0.9620619,Immune
308,Atp2a3,0.9577847,Vascular
309,Rph3al,0.7129894,HY MM Glut
310,Ssh2,0.32541934,Immune
311,Aldoc,0.72049326,Astro-Epen
312,Nos2,0.9857021,Vascular
313,Ccl2,0.99140024,Immune
314,Ccl7,0.9859585,Immune
315,Ccl12,0.9975702,Immune
316,Ccl8,0.99590814,Immune
317,Ccl5,0.9018338,Immune
318,Ccl6,0.99821025,Immune
319,Ccl3,0.99223036,Immune
320,Car4,0.9074851,Vascular
321,Sept4,0.7011793,Oligo
322,Col1a1,0.9458445,Astro-Epen
323,Dlx4os,0.9752742,NP-CT-L6b Glut
324,Arl4d,0.74492395,Pineal Glut
325,Grn,0.8202678,Immune
326,Gfap,0.9506374,Astro-Epen
327,Itgb3,0.87998295,Immune
328,Prkca,0.3154125,OEG
329,Abca8a,0.9513171,OEG
330,Abca9,0.98070437,Immune
331,Grin2c,0.9013028,Astro-Epen
332,Foxj1,0.844403,Oligo
333,Lgals3bp,0.762282,Immune
334,Nptx1,0.69939053,NP-CT-L6b Glut
335,Adam17,0.6175407,Immune
336,Slc26a3,0.84611046,LQ
337,Nampt,0.32039288,MB Dopa
338,Etv1,0.7550154,CB Glut
339,Arhgap5,0.23578651,Astro-Epen
340,Hif1a,0.31579816,HY MM Glut
341,Cox16,0.12455927,HY GABA
342,Fos,0.68947524,Immune
343,Tmem63c,0.38266933,CB Glut
344,Ngb,0.74142706,HY Glut
345,Ahsa1,0.28242642,MB-HB Sero
346,Prima1,0.9160907,OEG
347,Serpina3g,0.8860445,MB Glut
348,Pld4,0.99795705,Immune
349,Pacs2,0.49226543,Oligo
350,Vipr2,0.89657223,TH Glut
351,Gli3,0.9707233,Astro-Epen
352,Mboat1,0.8859078,Oligo
353,Nrn1,0.65833724,MH-LH Glut
354,Ly86,0.99407685,Immune
355,Edn1,0.94696134,Vascular
356,Cd83,0.7688179,Immune
357,Slc9a3,0.9091123,HY MM Glut
358,Dhfr,0.60032165,MB Dopa
359,Crhbp,0.94616574,MGE GABA
360,Sv2c,0.6818438,MB Dopa
361,Gfm2,0.26270282,Pineal Glut
362,Hexb,0.8512155,Immune
363,Zfp366,0.9926768,Vascular
364,Cd180,0.99374235,Immune
365,Ankrd55,0.55454135,MB-HB Sero
366,Hcn1,0.5242634,CB GABA
367,Prkcd,0.8535381,Immune
368,Stab1,0.98425215,Immune
369,Gdf10,0.8357749,CGE GABA
370,Glud1,0.4014724,Astro-Epen
371,Grid1,0.28600153,HY Glut
372,Nrg3,0.2817628,MH-LH Glut
373,Lgals3,0.9213457,HY Gnrh1 Glut
374,Sgcg,0.9533856,P Glut
375,Ints6,0.31649023,HY Gnrh1 Glut
376,Clu,0.6568813,Astro-Epen
377,Rb1,0.24310952,HY Gnrh1 Glut
378,Pcdh9,0.24857607,Oligo
379,Klhl1,0.68183047,MB Dopa
380,Osmr,0.97506225,Vascular
381,Gdnf,0.98507935,HY Gnrh1 Glut
382,Cdh9,0.64486533,MGE GABA
383,Cdh10,0.37554133,Astro-Epen
384,Cpq,0.7666315,Astro-Epen
385,Trps1,0.49989367,Astro-Epen
386,Has2,0.93787324,Oligo
387,Adcy8,0.5204947,MOB-CR Glut
388,Sla,0.9363064,CB GABA
389,Ly6a,0.99405324,Vascular
390,Pvalb,0.93683934,CB GABA
391,Ttll8,0.9933162,Astro-Epen
392,Plxnb2,0.6937285,Pineal Glut
393,Scn8a,0.2723629,IT-ET Glut
394,Gpr84,0.97727484,Immune
395,Itga5,0.81125265,NP-CT-L6b Glut
396,Grin2a,0.45413864,IT-ET Glut
397,Klhl6,0.98487896,Immune
398,Sst,0.8653898,MGE GABA
399,Apod,0.9546095,OEG
400,Tfrc,0.5409825,MH-LH Glut
401,Itgb5,0.95397127,Immune
402,Cd80,0.9248974,Immune
403,Retnla,0.85975647,Immune
404,Cd47,0.19597523,TH Glut
405,Epha6,0.41246432,CNU GABA
406,Epha3,0.630231,MOB-CR Glut
407,Olig2,0.9772222,Oligo
408,Atp5o,0.25160214,MGE GABA
409,Baiap3,0.63456,HY Gnrh1 Glut
410,Dusp1,0.70989096,Vascular
411,Itpr3,0.96632326,OEG
412,Grm4,0.75259423,CB Glut
413,Fkbp5,0.5690901,Immune
414,Cdkn1a,0.77787584,Vascular
415,Myo1f,0.9830984,Immune
416,H2-K1,0.90434474,Immune
417,H2-DMb1,0.97317106,Immune
418,Psmb8,0.9678997,Immune
419,C4b,0.9806401,OEG
420,Aif1,0.9894062,Immune
421,Tnf,0.997862,Immune
422,H2-D1,0.7148732,Vascular
423,Mog,0.9503456,Oligo
424,H2-M3,0.7829739,MB-HB Sero
425,Clic5,0.95863646,Vascular
426,Trem2,0.99668586,Immune
427,C3,0.695368,MY GABA
428,Lama1,0.7327759,P Glut
429,Nrxn1,0.19504951,CB Glut
430,Npc1,0.5900683,Oligo
431,Aqp4,0.9824921,Astro-Epen
432,Chst9,0.86803156,CB GABA
433,Cdh2,0.2520051,Pineal Glut
434,Gpr17,0.9508565,Oligo
435,Bin1,0.3973021,Immune
436,Hspa9,0.22531836,MGE GABA
437,Pcdha8,0.4204874,MY GABA
438,Pcdhb2,0.5268106,HY MM Glut
439,Pcdhb6,0.5426497,MB Dopa
